x_coordinate,y_coordinate,direction
319,215,Forward
292,197,Forward
291,199,Forward
291,199,Forward
291,199,Forward
290,199,Left
292,199,Forward
292,198,Forward
296,199,Forward
297,200,Forward
297,199,Forward
297,200,Forward
299,199,Forward
301,201,Forward
302,201,Forward
301,201,Left
301,201,Left
301,201,Left
302,200,Left
303,201,Left
303,201,Left
296,199,Forward
296,198,Forward
296,199,Forward
297,198,Forward
297,198,Forward
297,198,Left
298,197,Left
297,197,Forward
298,197,Forward
298,198,Forward
298,197,Forward
297,197,Forward
297,197,Left
297,197,Left
297,197,Left
297,197,Forward
297,197,Forward
297,196,Forward
296,196,Forward
296,196,Forward
314,176,Right
311,178,Forward
310,178,Forward
312,177,Forward
313,177,Right
312,178,Forward
311,178,Forward
312,178,Right
313,178,Right
314,177,Right
312,178,Right
313,177,Right
314,177,Right
313,179,Right
315,179,Right
318,178,Right
317,179,Right
317,180,Right
316,181,Right
316,183,Right
305,224,Forward
289,222,Left
290,223,Left
302,221,Left
303,222,Left
304,221,Left
303,221,Left
301,220,Left
301,222,Left
301,222,Left
302,221,Left
301,220,Left
301,222,Left
301,220,Left
301,220,Left
302,220,Left
302,220,Left
302,220,Left
303,219,Left
302,219,Left
278,225,Left
275,225,Left
274,225,Left
278,225,Left
279,225,Left
280,227,Left
281,227,Left
280,225,Left
281,225,Left
280,225,Left
280,225,Left
281,225,Left
280,226,Left
281,226,Left
281,224,Left
282,226,Left
282,226,Left
282,227,Left
283,227,Left
283,226,Left
306,199,Forward
298,205,Forward
296,209,Forward
295,217,Left
297,223,Left
299,224,Forward
299,224,Forward
299,223,Forward
299,223,Forward
297,223,Left
295,223,Forward
296,224,Forward
297,224,Forward
297,223,Forward
299,223,Left
300,221,Forward
300,221,Forward
300,220,Forward
301,220,Forward
301,220,Forward
316,202,Forward
321,203,Forward
335,198,Right
322,209,Forward
266,206,Left
321,203,Forward
284,205,Forward
285,204,Forward
284,208,Forward
279,211,Left
277,211,Left
275,211,Left
275,212,Left
276,211,Left
277,211,Left
278,211,Left
278,210,Left
281,212,Forward
282,211,Forward
281,211,Forward
344,204,Right
345,203,Right
344,203,Right
344,205,Right
335,206,Right
333,205,Forward
316,220,Forward
329,222,Right
302,206,Left
294,207,Left
292,207,Left
290,207,Left
290,208,Left
291,212,Left
292,213,Left
294,215,Left
295,214,Forward
296,215,Forward
296,214,Left
297,215,Left
293,205,Forward
292,206,Forward
291,209,Right
292,211,Right
294,212,Right
297,212,Right
296,210,Right
291,211,Left
291,211,Left
293,212,Left
294,213,Forward
295,211,Forward
296,211,Forward
297,212,Forward
297,215,Forward
291,216,Left
298,219,Forward
298,220,Forward
305,219,Forward
304,218,Forward
321,193,Right
333,192,Right
330,189,Right
331,188,Right
334,187,Right
334,183,Right
332,182,Right
329,182,Right
332,182,Right
335,181,Right
336,182,Right
333,181,Right
332,182,Right
325,181,Right
322,183,Forward
322,183,Forward
323,183,Forward
324,182,Right
322,184,Right
322,185,Forward
305,188,Forward
306,184,Forward
307,184,Forward
308,182,Forward
309,181,Forward
310,180,Forward
324,178,Left
322,178,Left
322,179,Left
321,179,Right
321,180,Right
320,179,Right
319,180,Right
319,180,Right
318,180,Right
317,180,Right
318,180,Right
318,181,Left
317,182,Left
317,182,Left
326,197,Right
327,197,Right
328,197,Right
328,197,Right
328,197,Right
328,196,Right
329,196,Right
329,197,Right
329,197,Right
330,196,Right
331,197,Right
332,197,Right
333,197,Right
334,197,Right
335,197,Right
335,197,Right
336,197,Right
336,197,Right
338,198,Right
337,198,Right
319,204,Forward
316,203,Forward
318,203,Forward
318,202,Forward
317,200,Forward
318,202,Forward
325,201,Forward
321,203,Forward
323,203,Forward
322,205,Forward
321,203,Forward
324,206,Forward
324,206,Forward
321,204,Forward
322,207,Forward
323,209,Forward
319,211,Forward
314,207,Forward
318,193,Forward
314,197,Forward
305,198,Right
315,214,Right
304,210,Forward
335,210,Forward
330,215,Forward
315,225,Forward
316,220,Forward
285,200,Left
300,190,Forward
310,200,Forward
315,185,Right
320,190,Right
325,189,Right
325,190,Right
335,191,Right
335,192,Forward
275,215,Left
320,190,Right
309,213,Left
315,190,Forward
310,190,Forward
310,189,Forward
310,200,Forward
309,201,Forward
308,202,Forward
307,203,Forward
306,201,Forward
309,191,Forward
305,191,Forward
304,192,Forward
304,193,Forward
325,195,Forward
326,194,Forward
290,190,Left
293,186,Forward
275,196,Left
276,195,Left
274,193,Left
